职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
业务主办（脚手架、盘扣租赁）,上海大展建设科技集团有限公司,上海-杨浦区,4.5-6千/月,07-23,1年经验,大专,销售助理,招1人
财务综管,天津光华绿色生态设计研究院有限公司,天津-东丽区,4.5-6千/月,07-23,3-4年经验,大专,会计经理/会计主管;行政经理/主管/办公室主任;财税、综管,招1人
调油技术员,彩丽电子（深圳）有限公司,深圳,5-6.5千/月,07-23,1年经验,招1人,技工;油墨;油漆;调油,07-23发布
高级交互设计师,上海六通信息科技有限公司,上海-杨浦区,1-2万/月,07-23,3-4年经验,本科,多媒体设计,招若干人
夹具钳工,武汉金瑞欣精密工业设备有限公司,武汉-武汉经济开发区,4.5-6千/月,07-23,3-4年经验,初中及以下,钳工,招2人
质检员,四川中宁建设工程有限公司,宜宾,4.5-6千/月,07-23,2年经验,大专,质量检验员/测试员;测绘/测量,招2人
皮肤科护士,深圳美芮医疗美容门诊部,深圳-南山区,4-6千/月,07-23,1年经验,中专,其他;皮肤管理;仪器,招2人
财务会计专员,四川乾新招投标代理有限公司,成都-高新区,4.5-6千/月,07-23,2年经验,大专,会计,招1人
海外财务经理,珠海钧誉资产管理有限公司,广州-天河区,0.8-2万/月,07-23,无工作经验,招1人,财务经理;财务分析经理/主管;海外;海外财务;会计;财务经理,07-23发布
市场经理,天津易桥普达财务咨询有限公司湖北分公司,武汉-武昌区,0.8-1.5万/月,07-23,2年经验,本科,市场/营销/拓展经理;销售;市场;营销;大客户,招1人
前台收银员+五险晋升,油之家石化集团有限公司,青岛-平度市,4-5千/月,07-23,无工作经验,高中,店员/营业员;收银员;收银;前台,招4人
网络销售专员,东莞市宇晨数码印花科技有限公司,东莞-虎门镇,3-4.5千/月,07-23,3-4年经验,高中,网络推广专员;销售代表;网络销售;销售代表;线下销售;业务员;销售;外贸销售;销售专员;销售主管,招10人
运维工程师,宁波比孚信息科技有限公司,上海,6-8千/月,07-23,1年经验,大专,技术支持/维护工程师,招2人
仓库管理员,深圳市资福药业有限公司,赣州,3-3.5千/月,07-23,无工作经验,招1人,仓库管理员,07-23发布
天猫超市运营,广州市悦然化妆品有限公司,广州-海珠区,5-8千/月,07-23,1年经验,大专,网店/淘宝运营;网店/淘宝店长;天猫超市;渠道;运营;店长;电商运营,招2人
外贸销售 业务推广,西安岳达生物科技股份有限公司,西安,3-7千/月,07-23,1年经验,本科,市场/营销/拓展专员;销售代表;外贸;销售;推广;业务,招5人
wish销售、主管（高提成+高薪+年终分红）,深圳市华坤实业发展有限公司,深圳-龙华新区,0.6-1万/月,07-23,1年经验,大专,销售代表;网络/在线销售;跨境电商;亚马逊销售;法语销售;英语销售;wish销售;ebay销售;B2C,招10人
净水器/食物垃圾处理器渠道销售，年薪12W+,上海信水实业有限公司,上海-徐汇区,0.5-1万/月,07-23,2年经验,大专,渠道/分销专员;销售代表;渠道销售;销售代表;电话销售;年终双薪;员工旅游,招若干人
项目人事专员,华润置地（武汉）物业管理有限公司长沙分公司,长沙-望城区,3.2-3.8千/月,07-23,1年经验,大专,人事专员;人事专员;人力行政;人力资源,招3人
储备实习生（一对一培训+包住+发展空间大）,南昌微聚实业有限公司,南昌,5-8千/月,07-23,无工作经验,初中及以下,储备干部;实习生;实习生,招5人
建筑工地仓管员/仓库管理员,西美空气处理技术（深圳）有限公司,深圳-南山区,4.5-6千/月,07-23,1年经验,高中,其他;仓库管理员;仓管员,招1人
医疗器械注册、认证专员,宏强集团,北京-通州区,0.5-1万/月,07-23,无工作经验,招若干人,其他,07-23发布
食品检验员,北京天福号食品销售有限公司,北京,3-4.5千/月,07-23,无工作经验,大专,化验员;食品;检验;包住宿;节日福利;立即上岗,招若干人
渠道销售经理+6K+超多福利,郑州格雷斯商贸有限公司,郑州-金水区,6-8千/月,07-23,无工作经验,招2人,渠道/分销主管;销售主管;渠道销售,07-23发布
外贸跟单员,优译有限公司,深圳-龙岗区,3.5-8千/月,07-23,无工作经验,招1人,贸易/外贸专员/助理;业务跟单;外贸跟单员;外贸助理;外贸业务员;外贸;跟单;助理;跟单助理,07-23发布
前台行政助理,上海玄佳教育科技有限公司,上海,6-8千/月,07-23,无工作经验,大专,行政专员/助理,招1人
总部诚聘存量房销售专家，工作弹性高提成,北京链家房地产经纪有限公司-BJ032,北京,0.8-1.2万/月,07-23,无工作经验,本科,电话销售;销售代表;房产经纪人;置业专家;无责底薪五千;电话销售,招5人
化妆品包装设计师（白云绿地）,广州市有喜化妆品有限公司,广州,0.8-1万/月,07-23,3-4年经验,招1人,包装设计;包装设计;广告;创意,07-23发布
分销经理,昌正实业（广州）有限公司,广州,1-2万/月,07-23,3-4年经验,大专,渠道/分销经理;电子商务经理/主管;电商分销;渠道分销;淘宝分销;分销经理;渠道分销经理,招1人
配饰设计师,刘杰装饰设计(北京)有限公司,北京-朝阳区,1-1.5万/月,07-23,3-4年经验,大专,室内设计;展览/展示/店面设计,招2人
酒店前台,石家庄美丽华大酒店有限公司,石家庄,4.5-6千/月,07-23,无工作经验,大专,前台接待/总机/接待生,招2人
生产维修员,深圳市恒讯润达科技有限公司,深圳-宝安区,5-6千/月,07-23,无工作经验,招1人,技工,07-23发布
餐厅店经理,上海家有好面餐饮管理有限公司,上海-长宁区,0.8-1万/月,07-23,3-4年经验,中技,店长/经理,招5人
好平台+执业律师+专职律师,湖南淡远律师事务所,长沙-开福区,0.5-1万/月,07-23,1年经验,本科,律师/法律顾问;执业律师;专职律师;事务所律师;授薪律师,招5人
销售顾问,佛山正通众锐汽车销售服务有限公司,佛山,0.8-1万/月,07-23,1年经验,中专,汽车销售/经纪人,招若干人
会计,广州荔湖高尔夫球有限公司,广州-增城,4.5-6千/月,07-23,无工作经验,招2人,会计;会计,07-23发布
室内设计师/精装设计师,中国南山地产-华中区域公司,长沙-岳麓区,0.7-1万/月,07-23,无工作经验,招1人,其他;其他,07-23发布
文案策划,山东普罗维登斯教育科技有限公司,济南-高新区,4.5-6千/月,07-23,3-4年经验,大专,其他;文案策划宣传,招2人
华为大客户销售（金融银行行业）,美承集团,武汉-武昌区,4-7千/月,07-23,无工作经验,招1人,大客户管理;客户经理/主管;渠道销售;大客户销售;销售代表;华为,07-23发布
项目管理（公司）,中国科学院声学研究所嘉兴工程中心,嘉兴,4-8千/月,07-23,2年经验,本科,科研管理人员,招1人
销售专员,西安中海嘉成国际拍卖有限公司,西安-碑林区,1-1.5万/月,07-23,无工作经验,招20人,销售代表;渠道销售;电话销售勤奋;敬业;作积极进取;有开拓能力;创新精神;团队协作精神,07-23发布
社区渠道拓展,链盟（上海）数字科技有限公司,上海-静安区,1-3万/月,07-23,无工作经验,本科,市场通路经理/主管;市场/营销/拓展经理,招若干人
嵌入式软件工程师,东莞市康助医疗科技有限公司,东莞-松山湖区,1.2-1.5万/月,07-23,3-4年经验,大专,嵌入式软件开发(Linux/单片机/PLC/DSP…),招若干人
商务专员,上海卓希智能科技有限公司,上海-松江区,4.5-6千/月,07-23,5-7年经验,大专,销售行政助理;商务助理;商务;销售;行政;助理;文职;松江,招2人
操作工,迈博瑞生物膜技术（南通）有限公司,上海-浦东新区,5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;普工;操作工,招若干人
韩语翻译,广东立明堂文化发展有限公司,广州-天河区,0.6-1万/月,07-23,无工作经验,招2人,韩语/朝鲜语翻译;翻译;韩语,07-23发布
驻店经理-上海崇明,斯维登集团,上海-崇明区,5-8千/月,07-23,无工作经验,大专,酒店/宾馆经理;店长;店总;酒店管理,招1人
管理储备干部（新津）,戴氏教育集团,成都,6-8千/月,07-23,无工作经验,本科,校长;院校教务管理人员;教育培训;中学教师,招8人
诚聘会计,杭州艾格财务咨询有限公司,杭州-江干区,4.5-6千/月,07-23,1年经验,大专,会计;会计、财务;出纳;会计助理;主办会计;税务专员,招5人
销售业务员双休,广州云企互联信息科技有限公司,广州-天河区,0.5-2万/月,07-23,1年经验,中专,销售代表;电话销售;销售人员,招10人
房产公司总经理（外派）,成都英祥房地产开发有限公司,雅安,1-1.5万/月,07-23,5-7年经验,大专,首席执行官CEO/总裁/总经理,招1人
出差专员（公费旅游+住宿）,西安聚联企业管理咨询有限公司,西安-雁塔区,4-8千/月,07-23,无工作经验,招4人,销售代表;大客户销售;渠道销售,07-23发布
兴业银行信用卡推广客户经理,兴业银行股份有限公司常州分行,常州-新北区,0.5-1.6万/月,07-23,无工作经验,大专,综合业务专员;销售代表;直销销售;渠道销售,招5人
奢侈品家居/家具销售顾问,上海百协中闻置地发展有限公司,上海-长宁区,0.8-1万/月,07-23,3-4年经验,高中,销售代表;家居顾问;家具销售;奢侈品家具;家具销售顾问,招3人
储备干部 无责底薪3000+提+住宿,重庆丹牛大数据科技有限公司,重庆-江北区,4.5-9千/月,07-23,无工作经验,招5人,销售代表;区域销售经理,07-23发布
跟单文员,香港光大企业公司深圳代表处,深圳-宝安区,4.5-6千/月,07-23,无工作经验,招2人,采购助理;业务跟单;采购跟单;采购;跟单;业务跟单,07-23发布
采购专员（年底双薪）,上海康展信息技术有限公司,沈阳-铁西区,6-8千/月,07-23,无工作经验,招2人,采购员;采购专员;五险一金;带薪年假;年终奖金;绩效奖金;双休;食宿补贴,07-23发布
暑假工,四川奥创优佳健身有限公司,成都-成华区,1.5-2千/月,07-23,无工作经验,招10人,兼职;销售代表,07-23发布
培训工程师,青岛海信日立空调系统有限公司,珠海-香洲区,0.8-1万/月,07-23,2年经验,本科,培训讲师,招若干人
销售经理(新能源货车）,四川城市绿动科技有限公司,成都-金牛区,6-9千/月,07-23,3-4年经验,高中,销售代表;大客户销售,招2人
资料员,湖南省地质建设工程（集团）总公司深圳分公司,深圳-福田区,0.6-1万/月,07-23,3-4年经验,大专,资料员;预结算员;资料员,招2人
纯坐岗非流水轻松+不穿无尘服,武汉市恩维激光设备有限公司,武汉-江夏区,4.5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;普工;操作工;高薪;舒适;加班;国企;坐岗,招50人
商务司机,重庆泽本祥达营销策划有限公司,重庆,4-6千/月,07-23,3-4年经验,大专,商务司机;商务助理;行政;司机;商务;助理;专员;后勤;专职,招1人
高级美容顾问,FANCL无添加,哈尔滨,0.8-1万/月,07-23,3-4年经验,高中,店员/营业员;美容顾问,招若干人
猎头顾问/寻访顾问,黑龙江北方国际人力资源集团有限公司,哈尔滨-南岗区,3-4.5千/月,07-23,2年经验,大专,招聘专员/助理;招聘经理/主管;猎头顾问;寻访顾问,招2人
业务员（高薪提成）,广州万晟建筑工程咨询有限公司,广州-天河区,0.8-1万/月,07-23,无工作经验,招6人,销售代表;其他;业务顾问;直销销售;电话销售;客服专员;业务员;销售代表;销售客服;销售专员,07-23发布
出纳,山东钧富国际物流有限公司青岛分公司,青岛-市南区,3-4.5千/月,07-23,无工作经验,大专,出纳员,招1人
电源开发工程师（广州南沙）,广东斯泰克电子科技有限公司,广州-南沙区,1-2万/月,07-23,3-4年经验,大专,电子工程师/技术员;电源工程师;电子工程师;工程师;研发;适配器;充电器,招1人
公寓门店店长,途趣公寓管理（深圳）有限公司,惠州,0.8-1.2万/月,07-23,2年经验,大专,酒店/宾馆经理;酒店店长;公寓店长,招2人
急聘阿里巴巴国际站业务员,广州兰奥游乐设备有限公司,广州-白云区,0.5-1.1万/月,07-23,1年经验,大专,贸易/外贸专员/助理;业务跟单经理;外贸业务员;阿里业务员,招5人
大客户销售代表（茶事业）,德高信控股集团有限公司,广州-越秀区,0.8-1万/月,07-23,2年经验,招若干人,大客户销售;销售代表;直销销售;客户代表;业务代表,07-23发布
专柜销售（高新区银泰99分店）,成都亨得利钟表眼镜有限责任公司,成都,4-8千/月,07-23,无工作经验,中专,店员/营业员;珠宝销售顾问;导购;营业员;奢侈品导购;高级营业员,招若干人
IT行业：咨询师/课程顾问  福利好 五险一金,北京华清远见科技发展有限公司成都分公司,成都-武侯区,6-8千/月,07-23,无工作经验,本科,销售代表;客户代表;课程顾问;销售代表;咨询老师;招生;市场专员;出差,招3人
招业务发展专员（包住）,济南腾虹商贸有限公司合肥分公司,合肥-瑶海区,5-8千/月,07-23,无工作经验,招5人,销售代表,07-23发布
高薪聘请国际货运代理同行销售,深圳市深快国际货运代理有限公司,深圳-宝安区,0.5-1万/月,07-23,无工作经验,高中,销售代表;电话销售;国际货运代理;国际物流;销售经理;业务,招若干人
品检员,杭州牧心电子商务有限公司,杭州-余杭区,5-8千/月,07-23,1年经验,高中,质量检验员/测试员,招2人
《中国企业报》广告事业专员,深圳市投融快线投资发展股份有限公司,深圳-福田区,6-8千/月,07-23,3-4年经验,本科,活动策划;文案/策划;新闻;新媒体;广告,招1人
销售可实***吃住无责4500,长沙市大勤优仕环保科技有限公司,长沙,0.5-1万/月,07-23,无工作经验,招12人,销售代表;市场营销;销售代表;外跑业务;五险;旅游;晋升;包住,07-23发布
