,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
592,金融财富投资业务合作伙伴,中国平安人寿保险股份有限公司天河支公司,广州-天河区,4-5万/月,07-23,无工作经验,,销售经理;销售主管;销售;互联网;健康医疗;医生;理财;直销;渠道;保险;银行,招若干人
593,采购员,广州红谷皮具有限公司,广州-花都区,4.5-5千/月,07-23,2年经验,,采购员;采购,招1人
594,幼教老师,宁波橙果艺术特长培训有限公司,宁波-鄞州区,5-8千/月,07-23,无工作经验,,幼教;乐器,招2人
595,管理实习生,长春长合智能科技有限公司,长春-南关区,0.8-1万/月,07-23,无工作经验,,销售经理;团队管理,招若干人
596,亚马逊销售/eaby销售（月薪5k起+五险+年终）,深圳市创星元科技有限公司,深圳-龙岗区,0.5-1.5万/月,07-23,无工作经验,高中,贸易/外贸专员/助理;销售代表;外贸业务员;速卖通运营;外贸助理;亚马逊运营;亚马逊业务员;Eab运营,招5人
597,1688销售/诚信通销售,深圳市德朗能电子科技有限公司,深圳-南山区,4.5-8千/月,07-23,无工作经验,,电池/电源开发;其他;电池行业,招3人
598,SEO主管(五险一金大小周）,广东野路子科技有限公司,佛山-禅城区,1-1.5万/月,07-23,3-4年经验,,SEO/SEM;网络推广经理/主管,招1人
599,快消品销售（总部+底薪4k+高提成7k+住宿）,沈阳优派科技有限公司,沈阳,6-8千/月,07-23,无工作经验,,销售代表;客户代表;零售销售;大销售;市场营销;营销专员;出差;高薪销售;客户客户经理,招10人
600,客户经理,号百商旅电子商务有限公司,上海-普陀区,6-8千/月,07-23,无工作经验,,客户经理/主管,招1人
601,前台,中保国安集团有限公司,深圳,4.5-5千/月,07-23,无工作经验,中专,前台接待/总机/接待生;行政专员/助理;前台,招1人
602,人事经理,上海中企人力资源咨询有限公司,上海-黄浦区,1.5-2万/月,07-23,5-7年经验,本科,人事经理;人事经理;人力资源经理;人事主管,招1人
603,报告审核员,广东汇通检测技术有限公司,茂名,3-4.5千/月,07-23,无工作经验,,环保检测,招1人
604,应付会计,运通亚洲网络咨询服务（北京）有限公司上海长宁分公司,上海-长宁区,6-8千/月,07-23,无工作经验,本科,会计;出纳员,招若干人
605,常州城市经理,永安行科技股份有限公司,常州,6-8千/月,07-23,3-4年经验,大专,市场/营销/拓展主管,招1人
606,网络销售专员,合肥千立盈知识产权代理有限公司,合肥-包河区,4-8千/月,07-23,无工作经验,大专,网络/在线销售,招5人
607,操作工    检验员,重庆津住汽车线束有限公司,重庆-渝北区,3-4.5千/月,07-23,无工作经验,,普工/操作工,招20人
608,销售经理,北京利源京威警用装备有限公司,北京-通州区,4.5-6千/月,07-23,无工作经验,,销售经理;销售代表;渠道销售;直销销售;电话销售,招2人
609,项目经理,深圳市嘉音美电子有限公司,深圳,1.5-3万/月,07-23,3-4年经验,大专,项目经理/主管;项目经理,招1人
610,影视合伙人（双休+五险）,安徽蓝娱辰影视文化传媒有限公司,合肥-蜀山区,0.8-1万/月,07-23,无工作经验,,业务拓展主管/经理;大客户管理;合伙拓展销售,招3人
611,操作工,蚌埠伊诺华轮胎有限公司,蚌埠,6-8千/月,07-23,无工作经验,初中及以下,普工/操作工,招10人
612,新媒体专员,广州标德仪器有限公司,广州-荔湾区,3.5-5.5千/月,07-23,无工作经验,大专,网络推广专员;媒介专员,招若干人
613,设计总监,广州市加和装饰工程有限公司,广州-增城,20-30万/年,07-23,8-9年经验,大专,室内设计;设计师;室内设计师;装潢,招5人
614,无经验 提供住宿  外贸业务员,深圳斯罗克电子有限公司,深圳-龙华新区,0.8-1万/月,07-23,无工作经验,大专,电子商务专员;销售助理;CET4,招10人
615,熟手招投标专员,东莞市科良机械设备有限公司,东莞-厚街镇,4.5-6千/月,07-23,2年经验,大专,招投标管理;设备标;投标;制作标书;投标专员;招投标员;招投标,招1人
616,人力资源总监,上海紫宇艳美容有限公司,上海-长宁区,1.5-2.5万/月,07-23,8-9年经验,大专,人事总监,招若干人
617,亚马逊主管/组长（美国）,深圳市友联创科技有限公司,深圳-龙岗区,1-1.5万/月,07-23,无工作经验,,电子商务专员;销售主管;亚马逊运营;亚马逊组长;亚马逊主管;美国站;法国站,招1人
618,经营专员,上海烛辉建设工程有限公司,上海-普陀区,6-8千/月,07-23,无工作经验,本科,市场/营销/拓展专员,招若干人
619,行政助理（包住宿+无经验要求）,南京易创园科技有限公司,南京-建邺区,3.5-6.5千/月,07-23,无工作经验,大专,行政专员/助理;经理助理/秘书;助理;文职;行政;人事;包住,招3人
620,射频测试,上海锐赢信息技术有限公司,上海-浦东新区,0.8-1万/月,07-23,3-4年经验,,射频工程师;测试工程师;硬件测试,招2人
621,大客户经理,广州众声音响科技有限公司,佛山,1-1.5万/月,07-23,2年经验,本科,大客户销售;销售经理;大客户经理;销售;管理,招1人
622,机械销售,上海中也机械有限公司,上海-普陀区,0.4-1.5万/月,07-23,3-4年经验,大专,销售工程师;客户代表;业务员;销售;机械;客户代表;刀具;工业,招15人
623,斗米销售无责保底4500+五险一金,北京斗米优聘科技发展有限公司,苏州-姑苏区,1-1.5万/月,07-23,无工作经验,大专,客户代表;电话销售;电话销售;直销销售;客户代表;大客户销售;BD;人力资源;招聘,招2人
624,外贸专员环保设备高薪诚邀包食宿,广州易科热泵烘干设备科技有限公司,广州-花都区,10-15万/年,07-23,无工作经验,,贸易/外贸专员/助理;业务跟单;外贸业务员;外贸专员;外贸助理;贸易专员;贸易业务员,招若干人
625,商品专员,阿玛施服饰,成都-锦江区,4.5-6千/月,07-23,无工作经验,大专,业务跟单;业务分析专员/助理,招2人
626,出纳,上海一诺银华服务外包有限公司,北京-大兴区,4.5-7千/月,07-23,2年经验,,出纳员;出纳,招1人
627,产品专员,深圳振强生物技术有限公司,深圳-龙岗区,4.5-6千/月,07-23,无工作经验,大专,生物工程/生物制药;售前/售后技术支持工程师;医药产品专员;生物技术支持,招1人
628,外贸业务员 Ebay AliExpress,深圳市伟芯业电子有限公司,深圳-福田区,0.8-1.4万/月,07-23,无工作经验,大专,贸易/外贸专员/助理;贸易/外贸经理/主管;外贸业务员;外贸专员;AliExpress;Ebay运营;销售;销售代表;跨境电商运营;跨境电商;网站运营专员,招若干人
629,精装造价师,崇州文化旅游投资集团有限公司,成都-崇州市,15-20万/年,07-23,无工作经验,,房地产项目招投标;预结算员,招1人
630,快手营销顾问,武汉七叶云科技有限公司,武汉-东湖新技术产业开发区,0.8-2万/月,07-23,1年经验,大专,销售代表;客户代表;直销销售,招10人
631,人力资源助理,中国人民人寿保险股份有限公司天津市分公司第二营销服务部,天津-和平区,4.5-6千/月,07-23,无工作经验,大专,人事助理;人力资源,招6人
632,资深移民咨询顾问,上海凌宇因私出入境服务有限公司,上海-静安区,0.8-1万/月,07-23,3-4年经验,本科,销售代表;专业顾问;咨询;顾问;销售;移民,招若干人
633,株洲通信监理员,中通服项目管理咨询有限公司,株洲,2.6-4千/月,07-23,2年经验,,通信技术工程师;工程监理;通信;监理;监理员,招1人
634,自动化集成顾问（武汉）,艾普工华科技（武汉）有限公司,武汉,8-15万/年,07-23,无工作经验,,其他,招2人
635,医疗器械销售,上海明意医疗器械有限公司,上海-静安区,6-8千/月,07-23,1年经验,大专,销售代表;直销销售,招若干人
636,网络推广专员,广州市冠富餐饮企业管理有限公司,广州,4.5-6.5千/月,07-23,2年经验,大专,网络推广专员;网络推广经理/主管;网络推广主管;运营;网站运营;新媒体运营;品牌推广,招1人
637,销售经理,格屋贸易（上海）有限公司,济南-槐荫区,7-9千/月,07-23,3-4年经验,大专,销售代表;销售工程师;渠道销售;直销销售,招若干人
638,短视频编剧,百度珠海营销服务中心,珠海,4.5-6千/月,07-23,1年经验,大专,导演/编导;编剧;编导;文案编辑,招1人
639,女童装设计总监,广州玳禾服饰有限公司,广州-海珠区,1-1.5万/月,07-23,5-7年经验,大专,服装/纺织设计总监;童装设计;设计师;童装设计师;童装设计总监;设计总监;女童装设计;女童装,招1人
640,豪宅咨询顾问/无责任底薪6500-9000+高提成+带薪培训,北京丽兹行房地产顾问有限公司-BJ9,北京-顺义区,1-1.5万/月,07-23,无工作经验,本科,销售代表;专业顾问;销售;销售代表;大客户销售;豪宅销售;大客户经理;渠道销售;客户代表;销售助理;外贸;业务,招10人
641,销售代表,广州迅越信息科技有限公司,广州-天河区,4.5-6千/月,07-23,无工作经验,大专,销售代表;渠道/分销专员;代理商销售;网络设备;销售代表;渠道;渠道销售,招2人
642,软件开发工程师,越田（上海）信息科技有限公司,上海,6-8千/月,07-23,2年经验,本科,软件工程师,招若干人
643,区域销售经理（贵阳）,青岛海信医疗设备股份有限公司,贵阳,0.6-1.5万/月,07-23,3-4年经验,本科,区域销售经理,招1人
644,文案管理,深圳市翠林投资控股有限公司,深圳-福田区,1-1.5万/月,07-23,3-4年经验,本科,文案/策划,招若干人
645,门店运营督导,深圳市华商生物科技有限公司,深圳-南山区,0.8-1.2万/月,07-23,2年经验,大专,督导/巡店;督导;门店运营;加盟店,招1人
646,财务专员,尼摩实业（深圳）有限公司,深圳-龙华新区,4.5-6千/月,07-23,3-4年经验,高中,会计;财务助理/文员,招若干人
647,LED内贸销售,深圳市佰菲特光电科技有限公司,深圳-光明新区,0.8-1万/月,07-23,无工作经验,高中,销售代表;销售,招3人
648,销售代表（安徽）,上海唯仁宠物用品有限公司,安徽省,0.8-1万/月,07-23,无工作经验,中专,销售代表;渠道销售,招若干人
649,双休风控专员薪酬六千+提成+急聘,成都鼎汇信息技术咨询有限公司,成都-锦江区,6-8千/月,07-23,1年经验,大专,行政专员/助理;风险管理/控制;风控专员;数据分析师;行政内勤;销售助理;资产管理;研究员,招若干人
650,大区市场推广助理（玛氏箭牌）,广州市天诺营销策划有限公司,成都-锦江区,3-4.5千/月,07-23,无工作经验,大专,市场助理;品牌推广;活动执行,招1人
651,礼宾员（迎宾+门岗/包吃包住+高温补贴）,绿城物业服务集团有限公司湖北分公司,武汉,4-6千/月,07-23,无工作经验,,保安人员;礼宾员;门岗;保安,招20人
652,行政专员,四川言几又文化传播有限公司,成都-武侯区,3-5千/月,07-23,无工作经验,大专,行政专员/助理,招1人
653,德佑置业顾问,厦门定金屋房地产营销策划有限公司,厦门,4-8千/月,07-23,无工作经验,高中,销售代表;销售;服务员;业务员;大客户代表;中介;经纪人,招20人
654,销售顾问,襄阳华骏汽车销售服务有限公司,襄阳,0.4-1.2万/月,07-23,1年经验,中技,销售代表;汽车销售顾问;销售;业务员;销售代表,招10人
655,电话网络销售月人1.5万(包吃住),泉州辰霖文化传媒有限公司,深圳-罗湖区,1.5-2万/月,07-23,无工作经验,高中,电话销售;销售代表;电话销售;课程顾问;销售代表;销售顾问;行政销售;教育;网络销售;大客户销售;售前;售后,招6人
656,贝壳找房大平台+房产销售+带薪培训+面销,合肥贝壳房地产经纪有限公司,合肥-庐阳区,0.7-1.4万/月,07-23,无工作经验,,房地产销售;销售;房产销售;房产经纪人,招10人
657,销售工程师,"Glory Dealing Co.,Limited",苏州-工业园区,0.5-2万/月,07-23,1年经验,本科,销售工程师;销售代表;销售;销售代表;销售工程师,招3人
658,销售工程师,深圳市宏诚精密轴承有限公司,深圳-龙岗区,0.8-1万/月,07-23,1年经验,高中,销售工程师;客户代表;销售工程师,招若干人
659,渠道经理,上海微料信息技术有限公司,上海-徐汇区,1.5-2万/月,07-23,2年经验,大专,销售经理,招1人
660,仓库管理员,广州道迩孚汽车科技有限公司,广州-白云区,4-5.5千/月,07-23,1年经验,高中,仓库管理员;文员,招2人
661,人事行政专员,广州海伦堡物业管理有限公司,广州-番禺区,4.5-5.5千/月,07-23,无工作经验,,人事专员,招若干人
662,wish运营,广州市丁丁网络科技有限公司,广州-天河区,0.6-1万/月,07-23,1年经验,大专,网站运营专员;wish;ps;运营,招1人
663,电商会计（应付会计）,舒华体育股份有限公司,泉州,4-5.5千/月,07-23,2年经验,大专,其他,招1人
664,链家聘储备干部/房产经纪人,南京蓝士达人力资源有限公司,南京-鼓楼区,1-1.5万/月,07-23,1年经验,高中,房地产销售;无责底薪;带薪培训;五险一金;置业顾问;储备干部;市场经理;房产经纪人,招若干人
665,人事主管/经理助理/资深人事,杭州骐瑞机电设备有限公司,杭州,4-7千/月,07-23,3-4年经验,大专,人事主管;人事主管;资深人事;经理助理,招1人
666,房地产内勤助理,北京金网络联行地产顾问有限公司,北京-朝阳区,4.5-6千/月,07-23,1年经验,大专,房地产内勤;销售行政专员;交通补助;五险一金,招1人
667,毛绒玩具外形设计师,广州市嘉惠文化发展有限公司,广州-番禺区,3-6千/月,07-23,无工作经验,大专,绘画;原画师;房补;奖金;设计师;绘画;美术;外观设计,招9人
668,急聘行政内勤,山东广衡文化发展有限公司,济南-历下区,3-4.5千/月,07-23,无工作经验,大专,行政专员/助理,招1人
